,average_mood,mood_class
954,6.6,2
955,6.2,1
956,7.6,5
957,8.0,5
958,7.2,4
959,5.8,1
960,5.4,1
961,7.4,4
962,6.4,1
963,7.4,4
964,7.0,3
965,7.4,4
966,7.0,3
967,7.6,5
968,7.6,5
969,7.0,3
970,7.4,4
971,5.8,1
972,7.0,3
973,8.75,5
974,7.6,5
975,7.2,4
976,7.8,5
977,7.6,5
978,8.6,5
979,7.5,4
980,7.2,4
981,6.8,2
982,7.8,5
983,8.0,5
984,7.6,5
985,7.6,5
986,9.333333333333334,5
987,8.0,5
988,7.8,5
989,7.2,4
990,6.6,2
991,7.6,5
992,7.2,4
993,6.4,1
994,7.4,4
995,7.666666666666667,5
996,7.8,5
997,7.0,3
998,6.4,1
999,6.6,2
1000,7.0,3
1001,7.8,5
1002,6.8,2
1003,7.5,4
1004,7.0,3
1005,6.5,2
1006,7.5,4
1007,6.8,2
1008,8.0,5
1009,5.75,1
1010,7.6,5
1011,7.2,4
1012,8.0,5
1013,7.8,5
1014,7.0,3
1015,7.0,3
1016,7.4,4
1017,7.8,5
1018,7.2,4
1019,6.8,2
1020,6.8,2
1021,6.2,1
1022,7.8,5
1023,5.8,1
1024,6.75,2
1025,7.8,5
1026,8.0,5
1027,7.25,4
1028,7.0,3
1029,8.0,5
1030,7.0,3
1031,8.0,5
1032,7.25,4
1033,7.5,4
1034,7.0,3
1035,6.2,1
1036,6.4,1
1037,6.8,2
1038,7.4,4
1039,6.8,2
1040,7.0,3
1041,8.5,5
1042,7.25,4
1043,8.0,5
1044,8.2,5
1045,7.75,5
1046,7.2,4
1047,7.8,5
1048,7.6,5
1049,8.6,5
1050,7.2,4
1051,8.25,5
1052,8.2,5
1053,8.0,5
1054,8.25,5
1055,7.8,5
1056,7.6,5
1057,8.0,5
1058,7.0,3
1059,7.5,4
1060,7.2,4
1061,6.4,1
1062,7.6,5
1063,7.8,5
1064,7.5,4
1065,6.0,1
1066,6.5,2
1067,7.0,3
1068,7.6,5
1069,7.8,5
1070,7.6,5
1071,7.8,5
1072,7.8,5
1073,7.4,4
1074,7.0,3
1075,7.0,3
1076,7.6,5
1077,8.2,5
1078,7.6,5
1079,6.0,1
1080,7.0,3
1081,7.8,5
1082,7.6,5
1083,7.8,5
1084,7.8,5
1085,8.0,5
1086,6.8,2
1087,7.75,5
1088,7.8,5
1089,8.4,5
1090,7.6,5
1091,7.6,5
1092,7.8,5
1093,7.6,5
1094,8.0,5
1095,7.8,5
1096,8.0,5
1097,8.0,5
1098,7.6,5
1099,7.8,5
1100,7.75,5
1101,8.2,5
1102,7.666666666666667,5
1103,7.8,5
1104,7.2,4
1105,7.75,5
1106,7.6,5
1107,8.4,5
1108,7.6,5
1109,7.4,4
1110,7.8,5
1111,7.75,5
1112,7.8,5
1113,8.0,5
1114,7.6,5
1115,8.2,5
1116,7.5,4
1117,7.8,5
1118,7.8,5
1119,8.0,5
1120,8.0,5
1121,7.8,5
1122,8.2,5
1123,8.0,5
1124,7.8,5
1125,7.8,5
1126,8.0,5
1127,6.666666666666667,2
1128,6.6,2
1129,6.8,2
1130,7.4,4
1131,6.6,2
1132,6.6,2
1133,7.0,3
1134,7.0,3
1135,7.2,4
1136,7.8,5
1137,7.0,3
1138,6.8,2
1139,6.2,1
1140,7.0,3
1141,6.75,2
1142,7.0,3
1143,6.8,2
1144,7.8,5
1145,8.0,5
1146,6.4,1
1147,7.0,3
1148,7.0,3
1149,6.5,2
1150,7.0,3
1151,7.0,3
1152,7.4,4
1153,6.8,2
1154,7.0,3
1155,7.0,3
1156,7.0,3
1157,7.0,3
1158,7.4,4
1159,7.2,4
1160,7.0,3
1161,6.75,2
1162,7.0,3
1163,7.0,3
1164,7.333333333333333,4
1165,7.0,3
1166,7.0,3
1167,7.0,3
1168,7.0,3
1169,7.0,3
1170,8.0,5
1171,7.0,3
1172,8.0,5
1173,8.0,5
1174,8.4,5
1175,7.6,5
1176,7.0,3
1177,7.8,5
1178,7.333333333333333,4
1179,8.25,5
1180,7.666666666666667,5
1181,8.6,5
1182,8.0,5
1183,7.5,4
1184,8.0,5
1185,8.5,5
1186,8.5,5
1187,7.0,3
1188,7.0,3
1189,7.5,4
1190,8.0,5
1191,7.0,3
1192,7.0,3
1193,7.25,4
1194,7.5,4
1195,8.666666666666666,5
1196,7.0,3
1197,6.0,1
1198,6.0,1
1199,7.75,5
1200,7.25,4
1201,7.2,4
1202,7.2,4
1203,7.0,3
1204,7.2,4
1205,7.4,4
1206,7.666666666666667,5
1207,7.4,4
1208,7.2,4
1209,6.2,1
1210,5.2,1
1211,7.0,3
1212,8.4,5
1213,7.6,5
1214,6.2,1
1215,6.75,2
1216,6.2,1
1217,6.4,1
1218,7.0,3
1219,5.0,1
