,id,date,mood_class,average_mood,last_5day_average_mood,last_5day_average_arousal,last_5day_average_valence,last_5day_average_activity,last_5day_total_sms,last_5day_total_calls,last_5day_total_other,last_5day_attr1,last_5day_attr2,last_5day_attr3,last_5day_attr4
236,AS14.07,2014-03-27,2,6.8,7.203333333333333,-0.04,0.8866666666666667,0.14476642731498396,2.6,3.2,281.4208,0.0,201.4272,16677.36359882431,973.3382000000001
237,AS14.07,2014-03-28,5,8.25,7.363333333333332,0.08,0.9666666666666666,0.12434553958528087,4.2,3.6,221.9324,0.0,88.9316,15776.619598527144,1143.6738
238,AS14.07,2014-03-29,3,7.0,7.463333333333333,0.13,0.9666666666666666,0.1109716382160614,4.2,3.8,245.619,0.0,221.19539999999998,16058.259799456404,1435.0264
239,AS14.07,2014-03-30,1,6.2,7.263333333333333,0.07,0.9666666666666666,0.09346291540884115,3.4,3.0,283.6,0.0,271.1028,17813.264399714662,1624.2864
240,AS14.07,2014-03-31,1,4.333333333333333,6.970000000000001,0.21000000000000002,0.7,0.0791086270994105,3.6,2.6,169.1078,0.0,298.126,16210.52480011635,1577.3722
241,AS14.07,2014-04-01,2,6.6,6.5166666666666675,-0.02999999999999998,0.5800000000000001,0.06872309618903175,3.0,2.0,157.9574,0.0,298.94899999999996,17609.422200127032,1906.1218000000001
242,AS14.07,2014-04-02,1,5.5,6.476666666666667,-0.27,0.6599999999999999,0.0669354982108025,3.0,2.2,156.97820000000002,0.0,288.5954,20023.13260017548,1668.5822
243,AS14.07,2014-04-03,1,6.2,5.926666666666667,-0.5700000000000001,0.41,0.07855302035665111,3.8,4.6,131.6252,0.0,298.6246,19889.54319956055,1413.2632
244,AS14.07,2014-04-04,2,6.5,5.766666666666667,-0.6900000000000001,0.25,0.08823054500523728,2.8,5.6,64.9884,0.0,290.148,19553.89419963226,1258.766
245,AS14.07,2014-04-05,1,6.0,5.826666666666666,-0.8800000000000001,0.25,0.08564192822297936,3.0,6.6,97.0924,0.0,319.8578,20187.786599954223,1299.2416
246,AS14.07,2014-04-06,2,6.75,6.159999999999999,-0.6799999999999999,0.38333333333333336,0.1216300291380007,3.8,7.4,111.31899999999999,0.0,308.1462,17219.56739986038,1084.1492
247,AS14.07,2014-04-07,1,5.4,6.1899999999999995,-0.63,0.42333333333333334,0.11674073023015456,2.8,7.2,122.27560000000001,0.0,308.34659999999997,14416.038000173949,1190.6094
248,AS14.07,2014-04-08,2,6.8,6.17,-0.5,0.4133333333333334,0.10160807199432187,2.2,4.6,147.956,0.0,166.05360000000002,16179.76280036964,1801.5970000000002
249,AS14.07,2014-04-09,1,6.4,6.290000000000001,-0.5,0.49333333333333335,0.09891558082633319,2.2,3.8,174.505,0.0,112.97980000000003,16489.28820022354,1849.8332000000003
250,AS14.07,2014-04-10,1,6.2,6.2700000000000005,-0.55,0.6133333333333334,0.10314754558512122,2.2,2.8,151.3696,0.0,31.267600000000023,16607.287799753954,1684.7988
251,AS14.07,2014-04-11,1,3.5,6.3100000000000005,-0.47000000000000003,0.4800000000000001,0.07667789599002178,2.0,2.2,135.7394,0.0,5.843800000000022,16920.57039998894,1774.9759999999999
252,AS14.07,2014-04-12,1,6.4,5.66,-0.22000000000000003,0.08000000000000003,0.0791513212575647,1.6,1.8,121.72859999999999,0.0,56.72360000000002,15086.22000001755,1473.8138
253,AS14.07,2014-04-13,2,6.5,5.86,-0.09999999999999998,0.19000000000000003,0.09367324919576872,3.4,2.2,110.47619999999999,0.0,152.40680000000003,14592.781400196458,1002.9712
254,AS14.07,2014-04-14,1,6.2,5.8,-0.06999999999999998,0.27,0.08157693389369161,3.4,3.0,83.29780000000001,0.0,152.40680000000003,13559.38640070954,1092.3394
255,AS14.07,2014-04-15,1,6.0,5.76,0.09000000000000002,0.23000000000000007,0.07408964550007327,3.2,3.0,78.4356,0.0,151.19920000000002,12092.64880088921,1027.7975999999999
256,AS14.07,2014-04-16,1,4.75,5.720000000000001,-0.13999999999999999,0.33000000000000007,0.05822264639426965,2.4,1.8,84.7012,0.0,146.76340000000005,13445.404400692752,982.7064
