,id,date,mood_class,average_mood,average_arousal,average_valence,average_activity,total_screen,total_sms,total_calls,total_built_in,total_communication,total_other,group,total_professional,total_recreation,total_convenience
54,AS14.02,2014-03-25,5,7.75,-1.25,0.75,0.2305136548564537,4637.388000011446,0.0,7.0,2806.931,2788.751,50.375,2.0,0.0,608.0360000000001,0.0
55,AS14.02,2014-03-26,3,7.2,-1.2,0.4,0.2939534624058421,6069.630000829695,0.0,5.0,1736.744,2533.849,41.95,2.0,0.0,2329.179,0.0
56,AS14.02,2014-03-27,4,7.25,0.0,0.5,0.228849008922151,5746.980998754501,0.0,3.0,2267.124,2997.043,731.853,2.0,0.0,572.147,67.16300000000001
57,AS14.02,2014-03-28,2,6.8,-0.6,0.6,0.2615983280781395,3969.580999135972,2.0,8.0,1053.115,1245.127,125.669,2.0,0.0,3424.8550000000005,0.0
58,AS14.02,2014-03-29,4,7.25,-0.75,0.25,0.432469355060395,4403.242997646334,0.0,4.0,17416.28,2141.489,52.841,2.0,0.0,1587.1219999999998,501.644
59,AS14.02,2014-03-30,2,7.0,-1.0,0.75,0.2418873087939678,3937.041998863219,1.0,10.0,772.787,1110.856,113.228,2.0,0.0,1601.4950000000001,0.0
60,AS14.02,2014-03-31,3,7.2,-0.8,0.4,0.1563729236642765,4774.145999193192,2.0,14.0,1186.299,2481.322,81.741,2.0,0.0,2393.596,0.0
61,AS14.02,2014-04-01,4,7.4,-0.2,0.8,0.2619605321890544,3297.737997055054,1.0,2.0,2790.014,1322.61,186.413,2.0,0.0,268.097,345.20000000000005
62,AS14.02,2014-04-02,1,6.4,-0.6,-0.2,0.3191205617996335,6883.828001737594,0.0,2.0,1964.21,2942.423,128.74400000000003,2.0,0.0,1339.355,0.0
63,AS14.02,2014-04-03,1,5.75,-0.25,0.0,0.3225058399099886,6814.300000905989,0.0,2.0,1269.299,3595.431,56.13199999999999,2.0,0.0,671.2080000000001,318.294
64,AS14.02,2014-04-04,1,6.4,-1.2,0.2,0.2272703566089604,3653.3700008392334,0.0,5.0,1121.689,2809.436,148.852,2.0,0.0,951.0479999999998,0.0
