,id,date,group,average_mood
638,AS14.13,2014-03-16,13,6.4
639,AS14.13,2014-03-17,13,6.6
640,AS14.13,2014-03-18,13,7.0
641,AS14.13,2014-03-19,13,7.8
642,AS14.13,2014-03-20,13,6.4
643,AS14.13,2014-03-21,13,6.4
644,AS14.13,2014-03-22,13,8.4
645,AS14.13,2014-03-23,13,7.4
646,AS14.13,2014-03-24,13,8.8
647,AS14.13,2014-03-25,13,7.6
648,AS14.13,2014-03-26,13,8.4
649,AS14.13,2014-03-27,13,7.4
650,AS14.13,2014-03-28,13,7.6
651,AS14.13,2014-03-29,13,7.2
652,AS14.13,2014-03-30,13,6.2
653,AS14.13,2014-03-31,13,7.0
654,AS14.13,2014-04-01,13,7.5
655,AS14.13,2014-04-02,13,7.4
656,AS14.13,2014-04-03,13,7.6
657,AS14.13,2014-04-04,13,7.8
658,AS14.13,2014-04-05,13,6.8
659,AS14.13,2014-04-06,13,6.25
660,AS14.13,2014-04-07,13,7.4
661,AS14.13,2014-04-08,13,8.2
662,AS14.13,2014-04-09,13,7.8
663,AS14.13,2014-04-10,13,7.6
664,AS14.13,2014-04-11,13,6.8
665,AS14.13,2014-04-12,13,6.8
666,AS14.13,2014-04-13,13,6.6
667,AS14.13,2014-04-14,13,6.8
668,AS14.13,2014-04-15,13,6.0
669,AS14.13,2014-04-16,13,6.0
670,AS14.13,2014-04-17,13,6.4
671,AS14.13,2014-04-18,13,3.5
672,AS14.13,2014-04-19,13,7.2
673,AS14.13,2014-04-20,13,6.6
674,AS14.13,2014-04-21,13,7.4
675,AS14.13,2014-04-22,13,5.75
676,AS14.13,2014-04-23,13,7.4
677,AS14.13,2014-04-24,13,7.666666666666667
678,AS14.13,2014-04-25,13,7.75
679,AS14.13,2014-04-26,13,8.8
680,AS14.13,2014-04-27,13,8.0
681,AS14.13,2014-04-28,13,8.166666666666666
682,AS14.13,2014-04-29,13,8.5
683,AS14.13,2014-04-30,13,7.833333333333333
684,AS14.13,2014-05-01,13,8.333333333333334
685,AS14.13,2014-05-02,13,8.0
686,AS14.13,2014-05-03,13,7.25
687,AS14.13,2014-05-04,13,8.0
713,AS14.14,2014-03-20,14,7.0
714,AS14.14,2014-03-21,14,6.4
715,AS14.14,2014-03-22,14,5.8
716,AS14.14,2014-03-23,14,6.0
717,AS14.14,2014-03-24,14,6.5
718,AS14.14,2014-03-25,14,5.75
719,AS14.14,2014-03-26,14,7.0
720,AS14.14,2014-03-27,14,6.6
721,AS14.14,2014-03-28,14,6.2
722,AS14.14,2014-03-29,14,8.0
723,AS14.14,2014-03-30,14,6.5
724,AS14.14,2014-03-31,14,6.75
725,AS14.14,2014-04-01,14,6.2
726,AS14.14,2014-04-02,14,7.0
727,AS14.14,2014-04-03,14,7.333333333333333
728,AS14.14,2014-04-04,14,7.5
729,AS14.14,2014-04-05,14,7.4
730,AS14.14,2014-04-06,14,7.4
731,AS14.14,2014-04-07,14,7.0
732,AS14.14,2014-04-08,14,6.8
733,AS14.14,2014-04-09,14,8.0
734,AS14.14,2014-04-10,14,6.666666666666667
735,AS14.14,2014-04-11,14,7.75
736,AS14.14,2014-04-12,14,7.5
738,AS14.14,2014-04-14,15,7.5
739,AS14.14,2014-04-15,15,6.0
740,AS14.14,2014-04-16,15,6.0
741,AS14.14,2014-04-17,15,6.2
742,AS14.14,2014-04-18,15,6.5
743,AS14.14,2014-04-19,15,6.75
744,AS14.14,2014-04-20,15,7.5
745,AS14.14,2014-04-21,15,7.0
746,AS14.14,2014-04-22,15,7.0
747,AS14.14,2014-04-23,15,7.0
748,AS14.14,2014-04-24,15,7.333333333333333
749,AS14.14,2014-04-25,15,8.0
750,AS14.14,2014-04-26,15,8.0
751,AS14.14,2014-04-27,15,7.666666666666667
754,AS14.14,2014-04-30,16,7.0
755,AS14.14,2014-05-01,16,6.0
756,AS14.14,2014-05-02,16,6.666666666666667
757,AS14.14,2014-05-03,16,6.8
758,AS14.14,2014-05-04,16,6.8
759,AS14.14,2014-05-05,16,7.0
783,AS14.15,2014-03-14,17,6.5
784,AS14.15,2014-03-15,17,6.75
785,AS14.15,2014-03-16,17,6.166666666666667
786,AS14.15,2014-03-17,17,6.4
787,AS14.15,2014-03-18,17,7.2
788,AS14.15,2014-03-19,17,7.4
789,AS14.15,2014-03-20,17,7.0
790,AS14.15,2014-03-21,17,7.0
791,AS14.15,2014-03-22,17,7.0
792,AS14.15,2014-03-23,17,7.0
793,AS14.15,2014-03-24,17,7.0
794,AS14.15,2014-03-25,17,7.0
795,AS14.15,2014-03-26,17,7.2
796,AS14.15,2014-03-27,17,7.0
797,AS14.15,2014-03-28,17,7.2
798,AS14.15,2014-03-29,17,7.0
799,AS14.15,2014-03-30,17,7.4
800,AS14.15,2014-03-31,17,7.2
801,AS14.15,2014-04-01,17,7.2
802,AS14.15,2014-04-02,17,7.2
803,AS14.15,2014-04-03,17,7.2
804,AS14.15,2014-04-04,17,7.2
805,AS14.15,2014-04-05,17,7.8
806,AS14.15,2014-04-06,17,6.2
807,AS14.15,2014-04-07,17,6.8
808,AS14.15,2014-04-08,17,6.8
809,AS14.15,2014-04-09,17,7.0
810,AS14.15,2014-04-10,17,7.2
811,AS14.15,2014-04-11,17,7.0
812,AS14.15,2014-04-12,17,7.4
813,AS14.15,2014-04-13,17,7.0
814,AS14.15,2014-04-14,17,7.0
815,AS14.15,2014-04-15,17,7.0
816,AS14.15,2014-04-16,17,7.0
817,AS14.15,2014-04-17,17,6.4
818,AS14.15,2014-04-18,17,6.0
819,AS14.15,2014-04-19,17,7.0
820,AS14.15,2014-04-20,17,7.0
821,AS14.15,2014-04-21,17,7.2
822,AS14.15,2014-04-22,17,7.0
823,AS14.15,2014-04-23,17,7.0
824,AS14.15,2014-04-24,17,7.0
825,AS14.15,2014-04-25,17,7.0
826,AS14.15,2014-04-26,17,6.2
827,AS14.15,2014-04-27,17,7.0
828,AS14.15,2014-04-28,17,7.0
829,AS14.15,2014-04-29,17,7.0
830,AS14.15,2014-04-30,17,6.0
831,AS14.15,2014-05-01,17,6.6
832,AS14.15,2014-05-02,17,7.0
833,AS14.15,2014-05-03,17,6.8
834,AS14.15,2014-05-04,17,7.0
835,AS14.15,2014-05-05,17,7.0
859,AS14.16,2014-03-13,19,8.0
860,AS14.16,2014-03-14,19,7.4
861,AS14.16,2014-03-15,19,6.4
862,AS14.16,2014-03-16,19,6.6
863,AS14.16,2014-03-17,19,7.2
864,AS14.16,2014-03-18,19,6.6
865,AS14.16,2014-03-19,19,6.4
866,AS14.16,2014-03-20,19,5.666666666666667
867,AS14.16,2014-03-21,19,6.8
868,AS14.16,2014-03-22,19,6.5
869,AS14.16,2014-03-23,19,7.0
870,AS14.16,2014-03-24,19,6.4
871,AS14.16,2014-03-25,19,6.0
872,AS14.16,2014-03-26,19,5.6
873,AS14.16,2014-03-27,19,6.0
874,AS14.16,2014-03-28,19,6.5
875,AS14.16,2014-03-29,19,6.0
876,AS14.16,2014-03-30,19,5.4
877,AS14.16,2014-03-31,19,6.0
878,AS14.16,2014-04-01,19,5.8
879,AS14.16,2014-04-02,19,6.4
880,AS14.16,2014-04-03,19,6.25
881,AS14.16,2014-04-04,19,6.2
882,AS14.16,2014-04-05,19,7.0
883,AS14.16,2014-04-06,19,6.75
884,AS14.16,2014-04-07,19,7.0
885,AS14.16,2014-04-08,19,6.4
886,AS14.16,2014-04-09,19,7.2
887,AS14.16,2014-04-10,19,6.6
888,AS14.16,2014-04-11,19,7.0
889,AS14.16,2014-04-12,19,7.0
890,AS14.16,2014-04-13,19,6.4
891,AS14.16,2014-04-14,19,7.0
892,AS14.16,2014-04-15,19,6.6
893,AS14.16,2014-04-16,19,7.25
894,AS14.16,2014-04-17,19,7.0
895,AS14.16,2014-04-18,19,6.8
896,AS14.16,2014-04-19,19,7.2
897,AS14.16,2014-04-20,19,7.0
898,AS14.16,2014-04-21,19,7.25
899,AS14.16,2014-04-22,19,6.6
900,AS14.16,2014-04-23,19,7.25
901,AS14.16,2014-04-24,19,5.4
902,AS14.16,2014-04-25,19,7.2
903,AS14.16,2014-04-26,19,6.75
904,AS14.16,2014-04-27,19,7.2
905,AS14.16,2014-04-28,19,8.0
906,AS14.16,2014-04-29,19,7.0
907,AS14.16,2014-04-30,19,7.0
908,AS14.16,2014-05-01,19,7.0
909,AS14.16,2014-05-02,19,8.0
925,AS14.17,2014-03-04,21,7.0
926,AS14.17,2014-03-05,21,8.0
927,AS14.17,2014-03-06,21,7.25
928,AS14.17,2014-03-07,21,7.5
929,AS14.17,2014-03-08,21,7.6
930,AS14.17,2014-03-09,21,7.2
931,AS14.17,2014-03-10,21,7.333333333333333
932,AS14.17,2014-03-11,21,6.2
933,AS14.17,2014-03-12,21,6.4
934,AS14.17,2014-03-13,21,7.25
935,AS14.17,2014-03-14,21,8.0
942,AS14.17,2014-03-21,22,7.4
943,AS14.17,2014-03-22,22,7.4
944,AS14.17,2014-03-23,22,7.4
945,AS14.17,2014-03-24,22,7.0
946,AS14.17,2014-03-25,22,7.5
947,AS14.17,2014-03-26,22,7.2
948,AS14.17,2014-03-27,22,7.2
949,AS14.17,2014-03-28,22,7.2
950,AS14.17,2014-03-29,22,6.8
951,AS14.17,2014-03-30,22,8.0
952,AS14.17,2014-03-31,22,7.25
953,AS14.17,2014-04-01,22,7.4
954,AS14.17,2014-04-02,22,7.5
955,AS14.17,2014-04-03,22,7.2
956,AS14.17,2014-04-04,22,7.0
957,AS14.17,2014-04-05,22,7.0
958,AS14.17,2014-04-06,22,7.25
959,AS14.17,2014-04-07,22,7.0
960,AS14.17,2014-04-08,22,7.0
961,AS14.17,2014-04-09,22,7.0
962,AS14.17,2014-04-10,22,6.75
963,AS14.17,2014-04-11,22,7.2
