,id,date,mood_class,average_mood,last_5day_average_mood,last_5day_average_arousal,last_5day_average_valence,last_5day_average_activity,last_5day_total_screen,last_5day_total_sms,last_5day_total_calls,last_5day_total_built_in,last_5day_total_communication,last_5day_total_entertainment,last_5day_total_finance,last_5day_total_game,last_5day_total_office,last_5day_total_other,last_5day_total_social,last_5day_total_travel,last_5day_total_unknown,last_5day_total_utilities,last_5day_total_weather
39,AS14.01,2014-04-29,6,7.0,7.5,-0.3200000000000001,0.9199999999999999,0.08487341395849184,13610.16619977951,1.0,1.6,1150.3435999999997,5333.600800000001,1660.0044000000003,144.7056,0.0,0.0,255.25059999999993,1947.202,117.05460000000002,0.6296,364.09299999999996,0.0
40,AS14.01,2014-04-30,8,7.8,7.38,-0.29000000000000015,0.9199999999999999,0.09524446602558587,10767.528999567032,1.0,1.4,1915.0719999999997,4162.1032,1079.516,102.7182,66.661,0.0,256.9583999999999,1491.7918,115.21420000000003,0.6296,302.9408,0.0
41,AS14.01,2014-05-01,8,8.0,7.5,-0.33000000000000007,0.9100000000000001,0.10364254510636983,9807.861599445343,0.8,1.2,1920.542,3416.398,1050.322,173.5084,66.661,0.0,280.34559999999993,1064.0862,157.11060000000003,0.6296,255.80499999999998,0.0
42,AS14.01,2014-05-02,8,7.6,7.58,-0.3700000000000001,0.9100000000000001,0.06820584441105422,9814.848199272155,0.8,2.0,2122.8608,4541.1086000000005,1119.384,268.05499999999995,66.661,5.6196,279.9905999999999,1574.1992,62.95600000000004,0.0,246.56620000000004,0.0
43,AS14.01,2014-05-03,8,8.0,7.6,-0.41000000000000014,0.9100000000000001,0.07757826351061663,11692.43959941864,0.8,2.0,2023.6852,5639.9926000000005,887.9174,368.05499999999995,66.661,5.6196,75.1424,1722.9584,62.95600000000004,0.0,236.7152,0.0
44,AS14.01,2014-05-04,8,8.0,7.68,-0.29000000000000015,0.95,0.08799137598197124,11168.080799627303,1.0,1.6,1911.9363999999998,5608.4734,1130.6198,334.267,66.661,5.6196,68.7394,1279.2922000000003,91.68220000000004,6.0204,185.79759999999996,0.0
50,AS14.02,2014-03-21,8,7.5,7.0666666666666655,0.2,0.49000000000000005,0.21794676910420746,6423.591600751877,0.8,7.6,1929.6276000000003,3270.8772,606.5663999999999,0.0,0.0,0.0,158.584,135.2792,113.43299999999999,0.0,0.0,0.0
51,AS14.02,2014-03-22,6,6.5,7.3,0.05,0.64,0.24636748823337218,7674.23640065193,0.8,8.8,1879.3411999999996,3212.2006,680.8088,0.0,0.0,0.0,84.5516,176.5652,201.8922,0.0,0.0,0.0
52,AS14.02,2014-03-23,6,6.25,7.25,-0.25,0.44000000000000006,0.30196254260988736,7160.195000982285,1.0,13.0,2019.525,2679.0286,311.1554,0.0,0.0,0.0,72.45259999999999,237.69299999999998,358.0156,0.0,0.0,0.0
53,AS14.02,2014-03-24,6,6.4,6.859999999999999,-0.5700000000000001,0.27999999999999997,0.3120050971655063,7163.406200838089,1.0,11.6,1677.5220000000002,2260.3922000000002,370.9864,0.0,0.0,0.0,67.0812,229.619,610.6533999999999,0.0,0.0,0.0
54,AS14.02,2014-03-25,8,7.75,6.779999999999999,-0.61,0.16,0.28010367829567767,6080.184600687027,0.8,11.6,1581.3096,2343.4306000000006,438.1612000000001,0.0,0.0,0.0,62.3356,266.61620000000005,497.2204,0.0,0.0,0.0
55,AS14.02,2014-03-26,8,7.2,6.88,-0.76,0.16,0.2784014172248989,6135.595400428772,0.6,11.0,1787.1004,2470.3066000000003,500.44300000000004,0.0,0.0,0.0,55.03920000000001,269.986,497.2204,0.0,0.0,0.0
56,AS14.02,2014-03-27,8,7.25,6.82,-0.85,0.09000000000000001,0.27926652472604585,5118.3512007713325,0.4,10.0,1688.3886000000002,2405.3872,561.9534,0.0,0.0,0.0,55.8404,504.78639999999996,408.7611999999999,0.0,0.0,0.0
57,AS14.02,2014-03-28,6,6.8,6.970000000000001,-0.65,0.29000000000000004,0.23582758914389582,4749.834999942779,0.2,5.6,1755.7602,2634.3446,527.5274000000001,0.0,0.0,0.0,193.5702,439.3262,252.6377999999999,0.0,13.432600000000003,0.0
58,AS14.02,2014-03-29,8,7.25,7.08,-0.5700000000000001,0.41,0.23420782335281723,4638.0457996368405,0.4,5.6,1787.482,2515.3902000000003,591.4358,0.0,0.0,0.0,206.331,948.3704,0.0,0.0,13.432600000000003,0.0
59,AS14.02,2014-03-30,6,7.0,7.25,-0.76,0.5,0.28947676186459625,4965.36459927559,0.4,5.4,4572.7828,2341.2518,697.6868000000001,0.0,0.0,0.0,200.5376,1006.5810000000001,100.3288,0.0,13.432600000000003,0.0
60,AS14.02,2014-03-31,8,7.2,7.1,-0.71,0.5,0.29175149265209904,4825.295399045944,0.6,6.0,4165.954,2005.6727999999998,861.4878000000001,0.0,0.0,0.0,213.10819999999998,1041.4718,100.3288,0.0,13.432600000000003,0.0
61,AS14.02,2014-04-01,8,7.4,7.1,-0.63,0.5,0.26423538490378595,4566.198598718644,1.0,7.8,4055.8650000000002,1995.1673999999998,779.0496,0.0,0.0,0.0,221.0664,1136.7934,100.3288,0.0,13.432600000000003,0.0
62,AS14.02,2014-04-02,6,6.4,7.13,-0.67,0.56,0.27085768955716666,4076.349998378754,1.2,7.6,4160.443000000001,1660.2808,696.2886000000001,0.0,0.0,0.0,111.97840000000001,1158.7444,169.36880000000002,0.0,0.0,0.0
63,AS14.02,2014-04-03,6,5.75,7.05,-0.6699999999999999,0.4,0.28236213630146545,4659.199398899078,0.8,6.4,4342.662,1999.7400000000002,759.0514000000001,0.0,0.0,0.0,112.59340000000002,678.8815999999999,169.36880000000002,0.0,0.0,0.0
64,AS14.02,2014-04-04,6,6.4,6.75,-0.57,0.35,0.2603694332713842,5141.410799551009,0.8,6.0,1596.5218,2290.5284,656.1551999999999,0.0,0.0,0.0,113.25160000000001,598.595,132.6988,0.0,0.0,0.0
65,AS14.02,2014-04-05,8,7.4,6.630000000000001,-0.61,0.24000000000000005,0.2574460428343827,5084.676399946213,0.6,5.0,1666.3022,2630.2444000000005,562.382,0.0,0.0,0.0,120.37640000000002,562.2787999999999,132.6988,0.0,0.0,0.0
66,AS14.02,2014-04-06,4,4.5,6.67,-0.45,0.27999999999999997,0.2905554025976324,6743.432400417328,0.4,4.0,1820.4598,2595.9118000000003,650.2857999999999,0.0,0.0,0.0,124.2076,206.2748,210.31300000000002,0.0,0.0,0.0
67,AS14.02,2014-04-07,6,6.8,6.090000000000001,-0.61,-0.13000000000000003,0.28120520019199197,6813.878400707244,0.2,4.8,1377.734,2576.2542000000003,758.6865999999999,0.0,0.0,0.0,92.9272,246.359,141.273,0.0,0.0,0.0
68,AS14.02,2014-04-08,6,6.25,6.17,-0.49000000000000005,0.02999999999999997,0.24468583471128524,6710.41820001602,0.2,4.8,1281.4816,2740.0054000000005,701.979,0.0,0.0,0.0,88.40799999999999,584.4156,141.273,0.0,0.0,0.0
69,AS14.02,2014-04-09,8,7.25,6.2700000000000005,-0.49000000000000005,0.12999999999999998,0.23257487425360024,6163.388599729538,0.4,6.4,1264.5774000000001,2474.0902,630.9176,0.0,0.0,0.0,104.0684,687.182,77.61420000000001,0.0,0.0,0.0
70,AS14.02,2014-04-10,8,7.25,6.44,-0.35,0.13999999999999999,0.23656277254078625,6584.1997996807095,0.6,7.8,1325.644,2363.312,594.4192,0.0,0.0,0.0,86.5774,717.7822,77.61420000000001,0.0,0.0,0.0
71,AS14.02,2014-04-11,6,6.5,6.410000000000001,-0.3,0.16999999999999998,0.22432894881333984,5539.462399101258,0.6,6.2,1194.917,2446.6276000000003,574.5872,0.0,0.0,0.0,94.6408,779.4214,105.02259999999998,0.0,0.409,0.0
72,AS14.02,2014-04-12,6,6.0,6.8100000000000005,-0.2,0.52,0.26618333024285673,5971.474799633026,0.8,6.4,1389.2784000000001,2670.5218,590.9359999999999,0.0,0.0,0.0,115.86419999999998,765.042,231.20839999999998,0.0,0.409,0.0
73,AS14.02,2014-04-13,8,7.2,6.65,-0.6,0.2,0.3145389300260454,5429.933200216294,1.0,7.2,1458.0224,2221.6394,443.35279999999995,0.0,0.0,0.0,96.83779999999999,394.8436,303.6454,0.0,1.8061999999999998,0.0
74,AS14.02,2014-04-14,8,8.0,6.840000000000001,-0.67,0.18000000000000002,0.3201127461582926,5049.076999855041,0.8,5.4,1323.2494000000002,1939.5122000000003,478.9608,0.0,0.0,0.0,85.7734,292.2072,335.57460000000003,0.0,1.8061999999999998,0.0
75,AS14.02,2014-04-15,8,7.25,6.99,-0.42000000000000004,0.33,0.30808558658374013,4452.200399923325,2.0,4.6,1199.8394,1852.8986,372.668,0.0,0.0,0.0,77.7304,244.70640000000003,335.57460000000003,0.0,18.7038,0.0
76,AS14.02,2014-04-16,6,6.666666666666667,6.99,-0.5700000000000001,0.28,0.2906612424508189,3023.6100002765656,2.0,7.2,958.8022000000001,1396.8346,237.53480000000005,0.0,0.0,0.0,49.48759999999999,136.4222,230.55200000000005,0.0,18.294800000000002,0.0
77,AS14.02,2014-04-17,6,6.5,7.023333333333333,-0.5366666666666666,0.24666666666666667,0.2764202276444023,1883.460799980164,2.0,9.0,674.1904000000001,928.0759999999998,97.39000000000001,0.0,0.0,0.0,22.261999999999997,72.49319999999999,104.3662,0.0,18.294800000000002,0.0
78,AS14.02,2014-04-18,6,6.5,7.123333333333333,-0.08666666666666666,0.44666666666666666,0.29477697499908784,1159.9439996719364,3.2,9.8,309.25820000000004,632.2427999999999,97.39000000000001,0.0,0.0,0.0,20.058799999999998,41.0548,31.9292,0.0,16.8976,0.0
79,AS14.02,2014-04-19,6,5.666666666666667,6.9833333333333325,0.03333333333333334,0.3666666666666667,0.24425742459462363,724.9698001384737,3.2,10.2,207.07560000000004,461.19899999999996,23.086000000000002,0.0,0.0,0.0,4.2364,16.4406,0.0,0.0,16.8976,0.0
80,AS14.02,2014-04-20,4,5.0,6.516666666666666,-0.25,0.10000000000000005,0.30684261456019807,207.82559995651255,1.8,8.8,47.0992,111.17179999999999,3.9316000000000004,0.0,0.0,0.0,0.0,5.0772,0.0,0.0,0.0,0.0
81,AS14.02,2014-04-21,6,5.5,6.066666666666666,-0.2833333333333333,4.4408920985006264e-17,0.27956131117655636,67.56819987297062,2.2,7.8,27.445999999999998,21.9884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,AS14.02,2014-04-22,6,5.666666666666667,5.833333333333334,-0.31666666666666665,-0.1666666666666666,0.21635051377338138,45.71139993667607,2.0,6.2,2.4194,21.9884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
