,id,date,group,mood_class,average_mood,average_arousal,average_valence,average_activity,total_screen,total_sms,total_calls,total_built_in,total_communication,total_entertainment,total_finance,total_game,total_office,total_other,total_social,total_travel,total_unknown,total_utilities,total_weather
1082,AS14.30,2014-03-22,41.0,8,0.7263157894736842,0.3,0.6923076923076923,0.4018542079931208,0.6315044347721598,0.0,0.0,0.08638966666666666,0.6613048461538461,0.29307571428571433,0.0,0.0,0.0,0.6072322222222223,0.23799337499999998,0.0,0.072328,0.05316714285714286,0.0
1083,AS14.30,2014-03-23,41.0,8,0.7578947368421052,0.35,0.6923076923076923,0.2206990133316428,0.6969803043137421,0.0,0.0,0.06211713333333333,0.37951669230769225,0.8107237142857143,0.0,0.0,0.0,0.4418761111111111,0.396858625,0.0,0.051409,0.05458285714285714,1.0
1084,AS14.30,2014-03-24,41.0,8,0.7578947368421052,0.45,0.6923076923076923,0.26222410672241436,0.6839139999928684,0.0,0.0,0.0782188,0.4684713846153846,0.4228477142857143,0.388144,0.0,0.02290833333333333,0.7682805555555553,0.444382,0.0,0.015109000000000001,0.06749642857142858,0.11592307692307693
1085,AS14.30,2014-03-25,41.0,8,0.7894736842105263,0.45,0.6923076923076923,0.24415637344545352,0.6894252609170001,0.0,0.06451612903225806,0.11840333333333335,0.7050153076923078,0.4368491428571428,0.050858,0.0,0.0,0.3025749999999999,0.26412575000000005,0.0,0.029197,0.041630714285714285,0.0
1086,AS14.30,2014-03-26,41.0,6,0.6000000000000001,0.55,0.5692307692307692,0.3656905178432158,0.8835750000165854,0.0,0.4838709677419355,0.09573373333333335,0.5950333076923077,0.39559614285714284,0.0,0.0,0.04323366666666666,0.6348149999999999,0.397524,0.0,0.13575700000000002,0.04160071428571429,0.046823076923076926
1087,AS14.30,2014-03-27,41.0,8,0.75,0.3125,0.6923076923076923,0.29145360925891695,0.7755476956574814,0.0,0.06451612903225806,0.09181633333333333,0.6630045384615384,0.519222142857143,0.026114000000000002,0.0,0.0060403333333333325,0.14246166666666668,0.485478,0.0,0.174448,0.12913857142857144,0.0
1088,AS14.30,2014-03-28,41.0,8,0.7578947368421052,0.5,0.6923076923076923,0.452118135783017,0.7683516956930578,0.0,0.06451612903225806,0.09470713333333333,0.5905696923076923,0.30368185714285717,0.026175999999999998,0.0,0.011420499999999998,0.2207911111111111,0.256927375,0.0132995,0.285998,0.04817928571428571,0.0
1089,AS14.30,2014-03-29,41.0,10,0.8526315789473684,0.15000000000000002,0.6923076923076923,0.2412034761265953,0.7597770435084467,0.0,0.06451612903225806,0.0497084,0.725692,0.7073922857142858,0.0,0.0,0.037524499999999995,0.05844833333333333,0.21559350000000002,0.0,0.0,0.044875000000000005,0.0
1090,AS14.30,2014-03-30,41.0,8,0.7263157894736842,0.2,0.6923076923076923,0.2050309142871001,0.508701652226241,0.0,0.1935483870967742,0.06271700000000001,0.35887515384615387,0.48208842857142864,0.0,0.0,0.0073743333333333334,0.106465,0.27298175,0.1291875,0.098398,0.033127857142857146,0.007746153846153846
1091,AS14.30,2014-03-31,41.0,8,0.7263157894736842,0.3,0.6923076923076923,0.4268416366443007,0.5639917826237887,0.0,0.0,0.0551662,0.726005076923077,0.19815700000000003,0.0,0.0,0.0,0.1396888888888889,0.12608875,0.025534,0.185751,0.02983571428571429,0.0
1092,AS14.30,2014-04-01,41.0,8,0.7578947368421052,0.2,0.7538461538461538,0.2860239569093107,0.560070304321206,0.13333333333333333,0.1935483870967742,0.32159280000000007,0.3518528461538462,0.7454294285714287,0.114528,0.0,0.0,0.20677555555555557,0.14679750000000003,0.014137499999999999,0.169243,0.02109,0.0
1093,AS14.30,2014-04-02,41.0,8,0.7263157894736842,0.35,0.5692307692307692,0.2980260673405147,0.3945119564533233,0.0,0.0,0.0438322,0.3020699230769231,0.3852861428571429,0.026096,0.0,0.0,0.5057955555555556,0.088548875,0.0,0.011094,0.009700714285714285,0.0
1094,AS14.30,2014-04-03,41.0,8,0.7894736842105263,0.55,0.6923076923076923,0.22782326785154497,0.6286753478672188,0.0,0.03225806451612903,0.10090366666666666,0.28510046153846164,0.7878907142857144,0.0,0.0,0.01750466666666667,0.3537383333333334,0.36807025,0.0010049999999999998,0.300221,0.03950571428571428,0.0
1095,AS14.30,2014-04-04,41.0,8,0.7578947368421052,0.2,0.6923076923076923,0.2594331751527401,0.6799314347868382,0.0,0.0967741935483871,0.10842953333333333,0.38317423076923074,0.695689,0.7437140000000001,0.0,0.0,0.221515,0.18194525,0.036923000000000004,0.071413,0.08716857142857143,0.0
1096,AS14.30,2014-04-05,41.0,8,0.7894736842105263,0.3,0.6923076923076923,0.12294443894408483,0.4070926086591642,0.0,0.06451612903225806,0.0702034,0.1470866923076923,0.5785725714285714,0.042298,0.13680742857142858,0.0016788333333333334,0.1692638888888889,0.15654762500000002,0.0,0.217914,0.05249071428571429,0.0
1097,AS14.30,2014-04-06,41.0,8,0.7894736842105263,0.2,0.6923076923076923,0.16569572747550784,0.44865486958752526,0.0,0.0,0.07724973333333335,0.14715415384615385,0.5288012857142858,0.0,0.5525654285714287,0.0,0.1386511111111111,0.135927,0.0,0.004370000000000001,0.0014378571428571428,0.7500384615384615
1098,AS14.30,2014-04-07,41.0,8,0.7263157894736842,0.5,0.6923076923076923,0.2219613098634031,0.709185304392939,0.0,0.0,0.13530773333333335,0.7021988461538461,0.3939065714285714,0.0,0.2239017142857143,0.0,0.22257111111111108,0.12264950000000001,0.08187900000000001,0.0,0.022982857142857145,0.5760461538461539
1099,AS14.30,2014-04-08,41.0,8,0.7578947368421052,0.35,0.6923076923076923,0.28943197155685724,0.7003651303726695,0.0,0.0,0.24884193333333327,0.5473183846153846,0.4515010000000001,0.06843600000000001,0.42061885714285724,0.0,0.43171777777777776,0.170687625,0.0015055000000000001,0.002016,0.12521285714285715,0.0
1100,AS14.30,2014-04-09,41.0,8,0.75,0.375,0.6923076923076923,0.2929139736220149,0.7928164347254714,0.3333333333333333,0.0967741935483871,0.14961420000000003,0.453244076923077,0.5969832857142857,0.0,0.7272042857142859,0.0006685,0.5849788888888889,0.19130524999999998,0.0,0.018276,0.020830714285714286,0.0
1101,AS14.30,2014-04-10,41.0,10,0.8210526315789473,0.25,0.6923076923076923,0.24307608698529065,0.49573195656486174,0.13333333333333333,0.0,0.04854473333333334,0.2834883076923077,0.563243,0.04013200000000001,0.30083857142857146,0.0,0.22574333333333335,0.17682562500000004,0.0388755,0.0,0.04880857142857144,0.0
1102,AS14.30,2014-04-11,41.0,8,0.736842105263158,0.33333333333333337,0.5897435897435898,0.2671129563154669,0.8426919130242388,0.0,0.12903225806451613,0.14306993333333334,0.7684346153846152,0.42600414285714294,0.061822,0.7340940000000001,0.0,0.21129722222222222,0.230850625,0.0,0.0,0.06515357142857144,0.06178461538461539
1103,AS14.30,2014-04-12,41.0,8,0.7578947368421052,0.25,0.7538461538461538,0.11163236247785376,0.5121390000426255,0.0,0.0,0.07290193333333334,0.24826053846153848,0.4122847142857143,0.0,0.7806882857142858,0.0,0.08405888888888886,0.22344199999999997,0.0,0.0,0.00574642857142857,0.0
1104,AS14.30,2014-04-13,41.0,8,0.6631578947368422,0.09999999999999998,0.6923076923076923,0.14357220090660283,0.4397526956226514,0.0,0.03225806451612903,0.0605668,0.1447953846153846,0.524683,0.048214,0.5524494285714286,0.007880333333333333,0.12025055555555555,0.193367375,0.0,0.0,0.03172,0.0
1105,AS14.30,2014-04-14,41.0,8,0.75,0.4375,0.6923076923076923,0.31090477406956946,0.5282319565337638,0.0,0.0,0.0783006,0.45312184615384615,0.37080500000000005,0.0,0.19318428571428573,0.0,0.09351277777777778,0.20075662500000002,0.0,0.0,0.039857142857142855,0.0
1106,AS14.30,2014-04-15,41.0,8,0.7263157894736842,0.15000000000000002,0.6923076923076923,0.2226441305865264,0.672670434744462,0.0,0.12903225806451613,0.1140836,0.567697,0.4454898571428572,0.154876,0.06085171428571429,0.018120166666666666,1.0,0.209667625,0.025656500000000002,0.0,0.04222785714285714,0.0
1107,AS14.30,2014-04-16,41.0,10,0.8526315789473684,0.4,0.8153846153846154,0.34918700608578407,0.5832891738829408,0.0,0.06451612903225806,0.09848013333333334,0.4698090769230768,0.48082257142857143,0.025824000000000003,0.3599645714285715,0.0,0.06289388888888889,0.14030150000000005,0.0,0.446635,0.019402142857142857,0.0
1108,AS14.30,2014-04-17,41.0,8,0.7263157894736842,0.3,0.6923076923076923,0.2934918668067874,0.8499039130936498,0.0,0.0,0.12128593333333333,0.4220756153846153,1.0,0.191116,0.46524142857142864,0.0,0.3315372222222222,0.22475837499999998,0.0,0.120063,0.03252785714285714,0.0
1109,AS14.30,2014-04-18,41.0,8,0.6947368421052633,0.2,0.6923076923076923,0.07502408859449874,0.7679326087080913,0.0,0.0,0.059018400000000006,0.36032215384615396,0.9035535714285715,0.08098000000000001,0.15446171428571429,0.0,0.8840694444444445,0.388619125,0.0,0.063287,0.010037142857142857,0.0
1110,AS14.30,2014-04-19,41.0,8,0.7578947368421052,0.2,0.6923076923076923,0.18174016343966698,0.49112173911799606,0.0,0.03225806451612903,0.05919220000000001,0.13918838461538463,0.596313142857143,0.022084,0.3684751428571429,0.0,0.05978722222222223,0.272418875,0.0,0.179737,0.031555714285714284,0.02313846153846154
1111,AS14.30,2014-04-20,41.0,8,0.75,0.1875,0.6923076923076923,0.19864035521605639,0.606488391285357,0.0,0.0,0.0562808,0.3816408461538462,0.4762542857142858,0.0,0.5194862857142858,0.0,0.16262555555555555,0.161986375,0.0,0.0,0.08102642857142857,0.0
1112,AS14.30,2014-04-21,41.0,8,0.7578947368421052,0.09999999999999998,0.6923076923076923,0.20227159203649656,0.6152953913419145,0.0,0.0,0.051489999999999994,0.6689859230769228,0.4084891428571429,0.024260000000000004,0.0011488571428571429,0.0,0.03974888888888889,0.2871853750000001,0.0,1.0,0.03732357142857143,0.0
1113,AS14.30,2014-04-22,41.0,8,0.7894736842105263,0.3,0.7538461538461538,0.2705245268006029,0.4703103478162184,0.2,0.06451612903225806,0.0814094,0.3515246923076923,0.25031657142857144,0.060244000000000006,0.0,0.0,0.18093444444444445,0.16848112500000004,0.0,0.504445,0.06884571428571429,0.0
1114,AS14.30,2014-04-23,41.0,8,0.7263157894736842,0.15000000000000002,0.6923076923076923,0.17040488530715503,0.44858169567066664,0.0,0.0,0.046853066666666665,0.3768726153846154,0.3835231428571429,0.23459000000000002,0.027028285714285716,0.0,0.07391222222222223,0.25017425,0.0,0.0,0.026585714285714285,0.0
1115,AS14.30,2014-04-24,41.0,10,0.8210526315789473,0.2,0.7538461538461538,0.24424891731791662,0.48270208704989914,0.0,0.0,0.03796493333333333,0.4569225384615385,0.22176285714285715,0.11032800000000001,0.0026068571428571434,0.0,0.040362222222222216,0.33636262499999997,0.0,0.0,0.006492857142857143,0.0
1116,AS14.30,2014-04-25,41.0,8,0.7105263157894737,0.25,0.6923076923076923,0.25688245148878946,0.6145018261515572,0.0,0.0,0.14388313333333336,0.2920753846153846,0.8476222857142858,0.0,0.06460542857142858,0.0,0.232275,0.16268349999999998,0.065332,0.090645,0.05528571428571428,0.0
1117,AS14.30,2014-04-26,41.0,8,0.7578947368421052,0.2,0.6923076923076923,0.6281126263392399,0.5514912609017418,0.0,0.06451612903225806,1.0,0.3068560000000001,0.5841354285714286,0.0,0.0,0.0018388333333333332,0.20606444444444444,0.18977024999999997,0.0,0.397618,0.0,0.05404615384615385
1118,AS14.30,2014-04-27,41.0,8,0.7578947368421052,0.25,0.6923076923076923,0.22947643167346224,0.53087039130667,0.0,0.03225806451612903,0.08938973333333333,0.13547807692307692,0.8292285714285715,0.0,0.0,0.0,0.14241222222222222,0.119563125,0.0,0.0,0.013648571428571428,0.1771769230769231
